filename,precision,recall,f1_score,accuracy,length_error,num_gt,num_pred
0_0_1024_1024_006_XG_medium fibril_ua__10kx_56.6px_100nm.png_2001.png,0.2903225806451613,0.5,0.3673469387755102,0.225,0.11144578313253012,54,93
0_0_1024_1024_015_XG_short fibril_ua__10kx_56.6px_100nm.png_2002.png,0.4929078014184397,0.5582329317269076,0.5235404896421846,0.35459183673469385,0.29411764705882354,249,282
0_0_1024_1024_003_XG_long fibril_ua__10kx_56.6px_100nm.png_2011.png,0.38461538461538464,0.5555555555555556,0.4545454545454546,0.29411764705882354,0.22085889570552147,9,13
0_0_1024_1024_012_XG_short fibril_ua__10kx_56.6px_100nm.png_2005.png,0.41630901287553645,0.6298701298701299,0.5012919896640827,0.33448275862068966,0.21428571428571427,154,233
0_341_1024_1365_003_XG_long fibril_ua__10kx_56.6px_100nm.png_2011.png,0.2777777777777778,0.5,0.35714285714285715,0.21739130434782608,0.1282051282051282,10,18
0_0_1024_1024_109_medium fibril_ua__10kx_56.6px_100nm.png_2010.png,0.5151515151515151,0.7083333333333334,0.5964912280701754,0.425,0.04819277108433735,24,33
0_341_1024_1365_012_XG_short fibril_ua__10kx_56.6px_100nm.png_2005.png,0.4594594594594595,0.6,0.5204081632653061,0.35172413793103446,0.1853318250377074,170,222
0_341_1024_1365_109_medium fibril_ua__10kx_56.6px_100nm.png_2010.png,0.5,0.7083333333333334,0.5862068965517241,0.4146341463414634,0.09248554913294797,24,34
0_341_1024_1365_015_XG_short fibril_ua__10kx_56.6px_100nm.png_2002.png,0.49333333333333335,0.4966442953020134,0.49498327759197325,0.3288888888888889,0.3107142857142857,298,300
0_341_1024_1365_006_XG_medium fibril_ua__10kx_56.6px_100nm.png_2001.png,0.32941176470588235,0.5283018867924528,0.40579710144927533,0.2545454545454545,0.12142857142857143,53,85
