filename,precision,recall,f1_score,accuracy,length_error,num_gt,num_pred
0_0_1024_1024_006_XG_medium fibril_ua__10kx_56.6px_100nm.png_2001.png,0.3333333333333333,0.5740740740740741,0.42176870748299317,0.2672413793103448,0.14912280701754385,54,93
0_0_1024_1024_015_XG_short fibril_ua__10kx_56.6px_100nm.png_2002.png,0.4703389830508475,0.4457831325301205,0.4577319587628866,0.2967914438502674,0.3333333333333333,249,236
0_0_1024_1024_003_XG_long fibril_ua__10kx_56.6px_100nm.png_2011.png,0.3333333333333333,0.4444444444444444,0.380952380952381,0.23529411764705882,0.08134920634920634,9,12
0_0_1024_1024_012_XG_short fibril_ua__10kx_56.6px_100nm.png_2005.png,0.4228855721393035,0.551948051948052,0.47887323943661975,0.3148148148148148,0.18571428571428572,154,201
0_341_1024_1365_003_XG_long fibril_ua__10kx_56.6px_100nm.png_2011.png,0.19230769230769232,0.5,0.2777777777777778,0.16129032258064516,0.0661764705882353,10,26
0_0_1024_1024_109_medium fibril_ua__10kx_56.6px_100nm.png_2010.png,0.5675675675675675,0.875,0.6885245901639344,0.525,0.08450704225352113,24,37
0_341_1024_1365_012_XG_short fibril_ua__10kx_56.6px_100nm.png_2005.png,0.4666666666666667,0.5764705882352941,0.5157894736842106,0.3475177304964539,0.18065268065268064,170,210
0_341_1024_1365_109_medium fibril_ua__10kx_56.6px_100nm.png_2010.png,0.65625,0.875,0.75,0.6,0.08771929824561403,24,32
0_341_1024_1365_015_XG_short fibril_ua__10kx_56.6px_100nm.png_2002.png,0.42700729927007297,0.3926174496644295,0.40909090909090906,0.2571428571428571,0.2619047619047619,298,274
0_341_1024_1365_006_XG_medium fibril_ua__10kx_56.6px_100nm.png_2001.png,0.32989690721649484,0.6037735849056604,0.42666666666666664,0.2711864406779661,0.14001814882032668,53,97
