image_id,snr,clustering,background_color,fiber_color,num_fibers,filename,precision,recall,f1_score,accuracy,num_gt,num_pred
2594,6.818,10.0,159,115,43,snr6.818_cluster10_bg159_sn115_n43_image_2594.png,0.7441860465116279,0.7441860465116279,0.7441860465116278,0.5925925925925926,43,43
2757,12.447,9.0,196,150,36,snr12.447_cluster9_bg196_sn150_n36_image_2757.png,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8,36,36
2339,3.98,6.0,39,21,43,snr3.980_cluster6_bg39_sn21_n43_image_2339.png,0.9302325581395349,0.9302325581395349,0.9302325581395349,0.8695652173913043,43,43
3035,10.717,3.0,54,31,38,snr10.717_cluster3_bg54_sn31_n38_image_3035.png,0.9210526315789473,0.9210526315789473,0.9210526315789473,0.8536585365853658,38,38
2977,8.609,7.0,153,114,42,snr8.609_cluster7_bg153_sn114_n42_image_2977.png,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9090909090909091,42,42
3187,6.394,4.0,201,153,41,snr6.394_cluster4_bg201_sn153_n41_image_3187.png,0.975609756097561,0.975609756097561,0.975609756097561,0.9523809523809523,41,41
3093,5.748,1.0,128,71,33,snr5.748_cluster1_bg128_sn71_n33_image_3093.png,1.0,1.0,1.0,1.0,33,33
3112,7.402,2.0,51,40,23,snr7.402_cluster2_bg51_sn40_n23_image_3112.png,1.0,1.0,1.0,1.0,23,23
2332,2.534,1.0,212,152,10,snr2.534_cluster1_bg212_sn152_n10_image_2332.png,1.0,1.0,1.0,1.0,10,10
2746,7.119,6.0,159,88,31,snr7.119_cluster6_bg159_sn88_n31_image_2746.png,0.9032258064516129,0.9032258064516129,0.9032258064516129,0.8235294117647058,31,31
2340,11.335,10.0,109,73,14,snr11.335_cluster10_bg109_sn73_n14_image_2340.png,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.8666666666666667,14,14
2596,6.996,5.0,192,119,45,snr6.996_cluster5_bg192_sn119_n45_image_2596.png,0.9777777777777777,0.9777777777777777,0.9777777777777777,0.9565217391304348,45,45
2687,6.401,3.0,175,124,34,snr6.401_cluster3_bg175_sn124_n34_image_2687.png,0.9705882352941176,0.9705882352941176,0.9705882352941176,0.9428571428571428,34,34
2948,11.233,5.0,140,82,58,snr11.233_cluster5_bg140_sn82_n58_image_2948.png,0.8448275862068966,0.8448275862068966,0.8448275862068967,0.7313432835820896,58,58
2475,6.169,5.0,84,48,58,snr6.169_cluster5_bg84_sn48_n58_image_2475.png,0.9310344827586207,0.9310344827586207,0.9310344827586207,0.8709677419354839,58,58
2886,12.267,7.0,61,35,36,snr12.267_cluster7_bg61_sn35_n36_image_2886.png,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.8947368421052632,36,36
2642,5.555,6.0,50,38,63,snr5.555_cluster6_bg50_sn38_n63_image_2642.png,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.6363636363636364,63,63
2334,5.692,9.0,174,107,42,snr5.692_cluster9_bg174_sn107_n42_image_2334.png,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9090909090909091,42,42
3148,11.447,10.0,93,61,29,snr11.447_cluster10_bg93_sn61_n29_image_3148.png,0.6206896551724138,0.6206896551724138,0.6206896551724138,0.45,29,29
3042,10.645,6.0,84,65,66,snr10.645_cluster6_bg84_sn65_n66_image_3042.png,0.7121212121212122,0.7121212121212122,0.7121212121212122,0.5529411764705883,66,66
2580,8.84,10.0,105,63,35,snr8.840_cluster10_bg105_sn63_n35_image_2580.png,0.7714285714285715,0.7714285714285715,0.7714285714285715,0.627906976744186,35,35
2686,7.731,10.0,170,115,44,snr7.731_cluster10_bg170_sn115_n44_image_2686.png,0.7727272727272727,0.7727272727272727,0.7727272727272727,0.6296296296296297,44,44
2479,3.764,7.0,89,63,63,snr3.764_cluster7_bg89_sn63_n63_image_2479.png,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8,63,63
2887,3.999,1.0,151,122,38,snr3.999_cluster1_bg151_sn122_n38_image_2887.png,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.9,38,38
3194,2.672,9.0,80,55,25,snr2.672_cluster9_bg80_sn55_n25_image_3194.png,0.76,0.76,0.76,0.6129032258064516,25,25
2599,11.331,1.0,140,102,51,snr11.331_cluster1_bg140_sn102_n51_image_2599.png,0.9607843137254902,0.9607843137254902,0.9607843137254902,0.9245283018867925,51,51
2880,9.42,10.0,94,71,36,snr9.420_cluster10_bg94_sn71_n36_image_2880.png,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.6363636363636364,36,36
3125,8.76,7.0,201,131,43,snr8.760_cluster7_bg201_sn131_n43_image_3125.png,0.6511627906976745,0.6511627906976745,0.6511627906976745,0.4827586206896552,43,43
3052,7.96,10.0,178,138,48,snr7.960_cluster10_bg178_sn138_n48_image_3052.png,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.5483870967741935,48,48
3008,11.689,3.0,183,144,28,snr11.689_cluster3_bg183_sn144_n28_image_3008.png,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.8666666666666667,28,28
2264,8.217,8.0,182,108,66,snr8.217_cluster8_bg182_sn108_n66_image_2264.png,0.6515151515151515,0.6515151515151515,0.6515151515151515,0.48314606741573035,66,66
3154,5.266,6.0,89,67,35,snr5.266_cluster6_bg89_sn67_n35_image_3154.png,0.6857142857142857,0.6857142857142857,0.6857142857142857,0.5217391304347826,35,35
2812,10.286,7.0,87,71,30,snr10.286_cluster7_bg87_sn71_n30_image_2812.png,1.0,1.0,1.0,1.0,30,30
2797,8.937,6.0,125,71,31,snr8.937_cluster6_bg125_sn71_n31_image_2797.png,0.967741935483871,0.967741935483871,0.967741935483871,0.9375,31,31
2744,6.802,1.0,209,125,25,snr6.802_cluster1_bg209_sn125_n25_image_2744.png,1.0,1.0,1.0,1.0,25,25
3094,11.615,9.0,164,96,39,snr11.615_cluster9_bg164_sn96_n39_image_3094.png,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.7333333333333333,39,39
2628,11.172,6.0,91,53,40,snr11.172_cluster6_bg91_sn53_n40_image_2628.png,0.975,0.975,0.975,0.9512195121951219,40,40
2774,4.78,9.0,158,108,33,snr4.780_cluster9_bg158_sn108_n33_image_2774.png,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.8333333333333334,33,33
2418,8.519,2.0,209,165,51,snr8.519_cluster2_bg209_sn165_n51_image_2418.png,0.9607843137254902,0.9607843137254902,0.9607843137254902,0.9245283018867925,51,51
2291,5.611,1.0,40,23,61,snr5.611_cluster1_bg40_sn23_n61_image_2291.png,0.9672131147540983,0.9672131147540983,0.9672131147540983,0.9365079365079365,61,61
3180,11.114,3.0,77,45,32,snr11.114_cluster3_bg77_sn45_n32_image_3180.png,0.84375,0.84375,0.84375,0.7297297297297297,32,32
2798,3.027,8.0,92,72,67,snr3.027_cluster8_bg92_sn72_n67_image_2798.png,0.6567164179104478,0.6567164179104478,0.6567164179104478,0.4888888888888889,67,67
2601,6.395,5.0,48,29,51,snr6.395_cluster5_bg48_sn29_n51_image_2601.png,0.8627450980392157,0.8627450980392157,0.8627450980392157,0.7586206896551724,51,51
2711,12.141,4.0,182,122,55,snr12.141_cluster4_bg182_sn122_n55_image_2711.png,0.9454545454545454,0.9454545454545454,0.9454545454545454,0.896551724137931,55,55
2980,5.953,6.0,87,53,33,snr5.953_cluster6_bg87_sn53_n33_image_2980.png,0.9696969696969697,0.9696969696969697,0.9696969696969697,0.9411764705882353,33,33
