filename,precision,recall,f1_score,accuracy,num_gt,num_pred
0_0_1024_1024_006_XG_medium fibril_ua__10kx_56.6px_100nm.png_2001.png,0.6111111111111112,0.6111111111111112,0.6111111111111112,0.44,54,54
0_0_1024_1024_015_XG_short fibril_ua__10kx_56.6px_100nm.png_2002.png,0.6265060240963856,0.6265060240963856,0.6265060240963856,0.45614035087719296,249,249
0_0_1024_1024_003_XG_long fibril_ua__10kx_56.6px_100nm.png_2011.png,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.125,9,9
0_0_1024_1024_012_XG_short fibril_ua__10kx_56.6px_100nm.png_2005.png,0.577922077922078,0.577922077922078,0.577922077922078,0.4063926940639269,154,154
0_341_1024_1365_003_XG_long fibril_ua__10kx_56.6px_100nm.png_2011.png,0.5,0.5,0.5,0.3333333333333333,10,10
0_0_1024_1024_109_medium fibril_ua__10kx_56.6px_100nm.png_2010.png,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8461538461538461,24,24
0_341_1024_1365_012_XG_short fibril_ua__10kx_56.6px_100nm.png_2005.png,0.5647058823529412,0.5647058823529412,0.5647058823529412,0.39344262295081966,170,170
0_341_1024_1365_109_medium fibril_ua__10kx_56.6px_100nm.png_2010.png,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.7142857142857143,24,24
0_341_1024_1365_015_XG_short fibril_ua__10kx_56.6px_100nm.png_2002.png,0.5906040268456376,0.5906040268456376,0.5906040268456376,0.41904761904761906,298,298
0_341_1024_1365_006_XG_medium fibril_ua__10kx_56.6px_100nm.png_2001.png,0.5660377358490566,0.5660377358490566,0.5660377358490566,0.39473684210526316,53,53
