image_id,snr,clustering,background_color,fiber_color,num_fibers,filename,precision,recall,f1_score,accuracy,num_gt,num_pred
3090,11.184,2.0,197,144,21,snr11.184_cluster2_bg197_sn144_n21_image_3090.png,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.8260869565217391,21,21
2443,5.237,4.0,201,124,40,snr5.237_cluster4_bg201_sn124_n40_image_2443.png,0.7674418604651163,0.825,0.7951807228915662,0.66,40,43
2910,3.412,8.0,74,52,60,snr3.412_cluster8_bg74_sn52_n60_image_2910.png,0.5588235294117647,0.6333333333333333,0.59375,0.4222222222222222,60,68
2855,5.664,7.0,66,43,56,snr5.664_cluster7_bg66_sn43_n56_image_2855.png,0.8035714285714286,0.8035714285714286,0.8035714285714286,0.6716417910447762,56,56
2766,11.768,3.0,183,133,78,snr11.768_cluster3_bg183_sn133_n78_image_2766.png,0.8181818181818182,0.8076923076923077,0.8129032258064518,0.6847826086956522,78,77
2236,9.428,3.0,83,62,57,snr9.428_cluster3_bg83_sn62_n57_image_2236.png,0.8703703703703703,0.8245614035087719,0.8468468468468469,0.734375,57,54
2664,5.263,1.0,193,122,39,snr5.263_cluster1_bg193_sn122_n39_image_2664.png,0.918918918918919,0.8717948717948718,0.8947368421052632,0.8095238095238095,39,37
2858,2.723,0.0,55,40,30,snr2.723_cluster0_bg55_sn40_n30_image_2858.png,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.7647058823529411,30,30
2376,9.844,3.0,143,94,46,snr9.844_cluster3_bg143_sn94_n46_image_2376.png,0.9767441860465116,0.9130434782608695,0.9438202247191011,0.8936170212765957,46,43
2525,11.973,1.0,106,88,59,snr11.973_cluster1_bg106_sn88_n59_image_2525.png,0.8448275862068966,0.8305084745762712,0.8376068376068375,0.7205882352941176,59,58
2348,8.585,6.0,59,34,15,snr8.585_cluster6_bg59_sn34_n15_image_2348.png,0.9375,1.0,0.967741935483871,0.9375,15,16
2494,10.828,1.0,100,60,76,snr10.828_cluster1_bg100_sn60_n76_image_2494.png,0.922077922077922,0.9342105263157895,0.9281045751633986,0.8658536585365854,76,77
3155,11.425,10.0,131,91,36,snr11.425_cluster10_bg131_sn91_n36_image_3155.png,0.7297297297297297,0.75,0.7397260273972601,0.5869565217391305,36,37
3171,6.915,10.0,38,25,31,snr6.915_cluster10_bg38_sn25_n31_image_3171.png,0.6153846153846154,0.7741935483870968,0.6857142857142857,0.5217391304347826,31,39
2350,11.229,5.0,189,128,51,snr11.229_cluster5_bg189_sn128_n51_image_2350.png,0.9074074074074074,0.9607843137254902,0.9333333333333333,0.875,51,54
2876,6.522,5.0,115,67,43,snr6.522_cluster5_bg115_sn67_n43_image_2876.png,0.9302325581395349,0.9302325581395349,0.9302325581395349,0.8695652173913043,43,43
3012,3.973,2.0,189,123,75,snr3.973_cluster2_bg189_sn123_n75_image_3012.png,0.9054054054054054,0.8933333333333333,0.8993288590604026,0.8170731707317073,75,74
2210,3.644,2.0,199,137,42,snr3.644_cluster2_bg199_sn137_n42_image_2210.png,0.8372093023255814,0.8571428571428571,0.8470588235294119,0.7346938775510204,42,43
2985,6.762,2.0,208,165,46,snr6.762_cluster2_bg208_sn165_n46_image_2985.png,0.9777777777777777,0.9565217391304348,0.967032967032967,0.9361702127659575,46,45
2485,4.936,9.0,183,148,15,snr4.936_cluster9_bg183_sn148_n15_image_2485.png,0.8571428571428571,0.8,0.8275862068965518,0.7058823529411765,15,14
2877,9.495,4.0,165,110,32,snr9.495_cluster4_bg165_sn110_n32_image_2877.png,0.9090909090909091,0.9375,0.923076923076923,0.8571428571428571,32,33
2813,11.024,4.0,110,68,42,snr11.024_cluster4_bg110_sn68_n42_image_2813.png,0.8780487804878049,0.8571428571428571,0.8674698795180722,0.7659574468085106,42,41
2527,7.164,2.0,129,88,40,snr7.164_cluster2_bg129_sn88_n40_image_2527.png,0.95,0.95,0.9500000000000001,0.9047619047619048,40,40
2505,11.146,0.0,208,129,44,snr11.146_cluster0_bg208_sn129_n44_image_2505.png,0.926829268292683,0.8636363636363636,0.8941176470588236,0.8085106382978723,44,41
3190,4.774,0.0,198,115,65,snr4.774_cluster0_bg198_sn115_n65_image_3190.png,0.9354838709677419,0.8923076923076924,0.9133858267716536,0.8405797101449275,65,62
2914,4.414,4.0,159,112,61,snr4.414_cluster4_bg159_sn112_n61_image_2914.png,0.9122807017543859,0.8524590163934426,0.8813559322033898,0.7878787878787878,61,57
3027,10.059,10.0,161,94,59,snr10.059_cluster10_bg161_sn94_n59_image_3027.png,0.7258064516129032,0.7627118644067796,0.743801652892562,0.5921052631578947,59,62
2658,6.42,7.0,37,22,54,snr6.420_cluster7_bg37_sn22_n54_image_2658.png,0.7457627118644068,0.8148148148148148,0.7787610619469028,0.6376811594202898,54,59
2432,11.06,2.0,219,169,26,snr11.060_cluster2_bg219_sn169_n26_image_2432.png,0.8076923076923077,0.8076923076923077,0.8076923076923077,0.6774193548387096,26,26
2829,6.245,2.0,100,57,30,snr6.245_cluster2_bg100_sn57_n30_image_2829.png,0.8387096774193549,0.8666666666666667,0.8524590163934426,0.7428571428571429,30,31
2634,8.669,7.0,157,120,19,snr8.669_cluster7_bg157_sn120_n19_image_2634.png,0.7619047619047619,0.8421052631578947,0.8,0.6666666666666666,19,21
2248,3.057,9.0,118,70,45,snr3.057_cluster9_bg118_sn70_n45_image_2248.png,0.32075471698113206,0.37777777777777777,0.3469387755102041,0.20987654320987653,45,53
3098,11.368,2.0,44,28,33,snr11.368_cluster2_bg44_sn28_n33_image_3098.png,0.9375,0.9090909090909091,0.923076923076923,0.8571428571428571,33,32
2329,9.446,10.0,95,53,66,snr9.446_cluster10_bg95_sn53_n66_image_2329.png,0.40963855421686746,0.5151515151515151,0.4563758389261745,0.2956521739130435,66,83
2861,7.433,7.0,53,36,35,snr7.433_cluster7_bg53_sn36_n35_image_2861.png,0.8235294117647058,0.8,0.8115942028985507,0.6829268292682927,35,34
2891,10.323,4.0,106,59,26,snr10.323_cluster4_bg106_sn59_n26_image_2891.png,0.92,0.8846153846153846,0.9019607843137256,0.8214285714285714,26,25
2663,8.875,4.0,164,91,54,snr8.875_cluster4_bg164_sn91_n54_image_2663.png,0.8846153846153846,0.8518518518518519,0.8679245283018868,0.7666666666666667,54,52
2280,11.337,6.0,200,127,28,snr11.337_cluster6_bg200_sn127_n28_image_2280.png,0.8928571428571429,0.8928571428571429,0.8928571428571429,0.8064516129032258,28,28
2698,2.832,0.0,183,107,50,snr2.832_cluster0_bg183_sn107_n50_image_2698.png,0.9019607843137255,0.92,0.9108910891089109,0.8363636363636363,50,51
2461,6.532,2.0,44,26,19,snr6.532_cluster2_bg44_sn26_n19_image_2461.png,0.8888888888888888,0.8421052631578947,0.8648648648648649,0.7619047619047619,19,18
2523,8.604,5.0,139,114,35,snr8.604_cluster5_bg139_sn114_n35_image_2523.png,0.7647058823529411,0.7428571428571429,0.7536231884057971,0.6046511627906976,35,34
2506,8.992,0.0,210,141,39,snr8.992_cluster0_bg210_sn141_n39_image_2506.png,0.8947368421052632,0.8717948717948718,0.8831168831168831,0.7906976744186046,39,38
2341,5.784,1.0,177,117,40,snr5.784_cluster1_bg177_sn117_n40_image_2341.png,0.9230769230769231,0.9,0.9113924050632911,0.8372093023255814,40,39
2694,6.792,10.0,109,89,52,snr6.792_cluster10_bg109_sn89_n52_image_2694.png,0.75,0.6923076923076923,0.7199999999999999,0.5625,52,48
2359,5.943,9.0,179,143,36,snr5.943_cluster9_bg179_sn143_n36_image_2359.png,0.7380952380952381,0.8611111111111112,0.7948717948717949,0.6595744680851063,36,42
2937,2.799,1.0,192,142,48,snr2.799_cluster1_bg192_sn142_n48_image_2937.png,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8461538461538461,48,48
2514,4.141,2.0,164,91,84,snr4.141_cluster2_bg164_sn91_n84_image_2514.png,0.8928571428571429,0.8928571428571429,0.8928571428571429,0.8064516129032258,84,84
2239,3.715,8.0,60,34,57,snr3.715_cluster8_bg60_sn34_n57_image_2239.png,0.75,0.7894736842105263,0.7692307692307692,0.625,57,60
2301,2.557,3.0,72,51,45,snr2.557_cluster3_bg72_sn51_n45_image_2301.png,0.9130434782608695,0.9333333333333333,0.9230769230769231,0.8571428571428571,45,46
2304,9.007,0.0,88,53,49,snr9.007_cluster0_bg88_sn53_n49_image_2304.png,0.9333333333333333,0.8571428571428571,0.8936170212765957,0.8076923076923077,49,45
2423,12.377,6.0,195,144,45,snr12.377_cluster6_bg195_sn144_n45_image_2423.png,0.8780487804878049,0.8,0.8372093023255814,0.72,45,41
2771,9.462,0.0,157,91,61,snr9.462_cluster0_bg157_sn91_n61_image_2771.png,0.8360655737704918,0.8360655737704918,0.8360655737704918,0.7183098591549296,61,61
2933,11.309,0.0,94,58,56,snr11.309_cluster0_bg94_sn58_n56_image_2933.png,0.8518518518518519,0.8214285714285714,0.8363636363636364,0.71875,56,54
2379,10.321,10.0,114,69,46,snr10.321_cluster10_bg114_sn69_n46_image_2379.png,0.8409090909090909,0.8043478260869565,0.8222222222222223,0.6981132075471698,46,44
2881,6.962,9.0,60,35,58,snr6.962_cluster9_bg60_sn35_n58_image_2881.png,0.7272727272727273,0.8275862068965517,0.7741935483870968,0.631578947368421,58,66
3007,8.535,1.0,31,18,50,snr8.535_cluster1_bg31_sn18_n50_image_3007.png,0.8461538461538461,0.88,0.8627450980392156,0.7586206896551724,50,52
2361,11.043,2.0,106,74,36,snr11.043_cluster2_bg106_sn74_n36_image_2361.png,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.7142857142857143,36,36
2732,4.948,1.0,201,130,57,snr4.948_cluster1_bg201_sn130_n57_image_2732.png,0.8771929824561403,0.8771929824561403,0.8771929824561403,0.78125,57,57
2535,8.297,2.0,109,76,45,snr8.297_cluster2_bg109_sn76_n45_image_2535.png,0.8478260869565217,0.8666666666666667,0.8571428571428571,0.75,45,46
3026,11.17,0.0,116,72,51,snr11.170_cluster0_bg116_sn72_n51_image_3026.png,0.8775510204081632,0.8431372549019608,0.86,0.7543859649122807,51,49
2605,10.727,5.0,202,121,52,snr10.727_cluster5_bg202_sn121_n52_image_2605.png,0.7833333333333333,0.9038461538461539,0.8392857142857143,0.7230769230769231,52,60
2966,9.558,3.0,204,160,43,snr9.558_cluster3_bg204_sn160_n43_image_2966.png,0.825,0.7674418604651163,0.7951807228915662,0.66,43,40
2997,12.415,4.0,102,67,32,snr12.415_cluster4_bg102_sn67_n32_image_2997.png,0.9666666666666667,0.90625,0.9354838709677419,0.8787878787878788,32,30
2691,4.407,6.0,166,125,57,snr4.407_cluster6_bg166_sn125_n57_image_2691.png,0.7377049180327869,0.7894736842105263,0.7627118644067797,0.6164383561643836,57,61
2692,10.582,10.0,35,22,43,snr10.582_cluster10_bg35_sn22_n43_image_2692.png,0.8571428571428571,0.8372093023255814,0.8470588235294119,0.7346938775510204,43,42
2936,5.148,6.0,161,102,63,snr5.148_cluster6_bg161_sn102_n63_image_2936.png,0.7647058823529411,0.8253968253968254,0.7938931297709922,0.6582278481012658,63,68
3060,9.864,1.0,148,84,51,snr9.864_cluster1_bg148_sn84_n51_image_3060.png,0.9791666666666666,0.9215686274509803,0.9494949494949494,0.9038461538461539,51,48
2833,6.586,0.0,147,82,43,snr6.586_cluster0_bg147_sn82_n43_image_2833.png,0.8409090909090909,0.8604651162790697,0.8505747126436781,0.74,43,44
2831,8.601,10.0,71,40,57,snr8.601_cluster10_bg71_sn40_n57_image_2831.png,0.7741935483870968,0.8421052631578947,0.8067226890756302,0.676056338028169,57,62
2491,11.648,0.0,183,128,35,snr11.648_cluster0_bg183_sn128_n35_image_2491.png,0.8857142857142857,0.8857142857142857,0.8857142857142857,0.7948717948717948,35,35
2719,8.392,2.0,96,69,41,snr8.392_cluster2_bg96_sn69_n41_image_2719.png,0.7555555555555555,0.8292682926829268,0.7906976744186047,0.6538461538461539,41,45
2724,10.565,0.0,134,102,40,snr10.565_cluster0_bg134_sn102_n40_image_2724.png,0.95,0.95,0.9500000000000001,0.9047619047619048,40,40
3017,11.629,9.0,209,125,46,snr11.629_cluster9_bg209_sn125_n46_image_3017.png,0.7142857142857143,0.7608695652173914,0.7368421052631581,0.5833333333333334,46,49
2483,11.041,3.0,211,168,21,snr11.041_cluster3_bg211_sn168_n21_image_2483.png,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.8260869565217391,21,21
2246,3.406,5.0,196,114,76,snr3.406_cluster5_bg196_sn114_n76_image_2246.png,0.6976744186046512,0.7894736842105263,0.7407407407407408,0.5882352941176471,76,86
2464,7.171,1.0,110,64,75,snr7.171_cluster1_bg110_sn64_n75_image_2464.png,0.92,0.92,0.92,0.8518518518518519,75,75
2904,7.025,8.0,145,88,46,snr7.025_cluster8_bg145_sn88_n46_image_2904.png,0.8809523809523809,0.8043478260869565,0.8409090909090908,0.7254901960784313,46,42
3084,2.782,8.0,115,71,35,snr2.782_cluster8_bg115_sn71_n35_image_3084.png,0.875,0.8,0.8358208955223881,0.717948717948718,35,32
2457,9.37,0.0,74,51,47,snr9.370_cluster0_bg74_sn51_n47_image_2457.png,0.9111111111111111,0.8723404255319149,0.891304347826087,0.803921568627451,47,45
2352,8.856,5.0,81,47,68,snr8.856_cluster5_bg81_sn47_n68_image_2352.png,0.7733333333333333,0.8529411764705882,0.8111888111888111,0.6823529411764706,68,75
2994,8.778,3.0,32,18,23,snr8.778_cluster3_bg32_sn18_n23_image_2994.png,0.9090909090909091,0.8695652173913043,0.888888888888889,0.8,23,22
2585,12.064,0.0,160,132,44,snr12.064_cluster0_bg160_sn132_n44_image_2585.png,0.8571428571428571,0.8181818181818182,0.8372093023255814,0.72,44,42
2775,6.958,2.0,140,103,24,snr6.958_cluster2_bg140_sn103_n24_image_2775.png,0.92,0.9583333333333334,0.9387755102040817,0.8846153846153846,24,25
2954,6.714,6.0,216,146,14,snr6.714_cluster6_bg216_sn146_n14_image_2954.png,1.0,0.9285714285714286,0.962962962962963,0.9285714285714286,14,13
2204,11.704,1.0,96,57,40,snr11.704_cluster1_bg96_sn57_n40_image_2204.png,0.8717948717948718,0.85,0.8607594936708861,0.7555555555555555,40,39
2474,8.364,3.0,67,54,59,snr8.364_cluster3_bg67_sn54_n59_image_2474.png,0.7741935483870968,0.8135593220338984,0.7933884297520662,0.6575342465753424,59,62
2227,6.794,6.0,79,47,22,snr6.794_cluster6_bg79_sn47_n22_image_2227.png,0.8571428571428571,0.8181818181818182,0.8372093023255814,0.72,22,21
2393,9.538,7.0,98,54,54,snr9.538_cluster7_bg98_sn54_n54_image_2393.png,0.6785714285714286,0.7037037037037037,0.6909090909090909,0.5277777777777778,54,56
2839,4.916,7.0,148,95,29,snr4.916_cluster7_bg148_sn95_n29_image_2839.png,0.7777777777777778,0.7241379310344828,0.75,0.6,29,27
2346,5.828,5.0,46,31,56,snr5.828_cluster5_bg46_sn31_n56_image_2346.png,0.7796610169491526,0.8214285714285714,0.8,0.6666666666666666,56,59
